sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
430,TCS-3674,Minimal timeline planning with one or two variables,"As for future work, we shall study the strong minimal TP problem when just one or two state variables are used, whose decidability remains an […]",Automata and formal languages,quarantined,individual_review,Pevný malý počet stavových proměnných v jedné silně minimální plánovací variantě je příliš úzký zbytkový případ.,,,"As for future work, we shall study the strong minimal TP problem when just one or two state variables are used, whose decidability remains an […]",Taming the Complexity of Timeline-Based Planning over Dense Temporal Domains,https://doi.org/10.4230/LIPIcs.FSTTCS.2019.34
431,TCS-3840,A universal property of Wasserstein lifting,What is a universal property for the canonical Wasserstein lifting?,Automata and formal languages,quarantined,individual_review,Hledá kategoriální popis již používané konstrukce; nevymezuje samostatnou algoritmickou nebo rozhodnutelnostní překážku.,,,What is a universal property for the canonical Wasserstein lifting?,Up-To Techniques for Behavioural Metrics via Fibrations,https://doi.org/10.4230/LIPIcs.CONCUR.2018.17
432,TCS-3856,Bounded MSO versus rational resynchronizers,We conjecture that the bounded MSO resynchronizers defined here strictly capture the rational resynchronizers introduced in [15].,Automata and formal languages,quarantined,individual_review,Přísné zahrnutí dvou formálních mechanismů původu výstupu je lokální expresivní otázka oproti hlavním transduktorovým problémům.,,,We conjecture that the bounded MSO resynchronizers defined here strictly capture the rational resynchronizers introduced in [15].,Origin-Equivalence of Two-Way Word Transducers Is in PSPACE,https://doi.org/10.4230/LIPIcs.FSTTCS.2018.22
433,TCS-4472,Maximal Partition Logic versus one weighted-MSO fragment,"We conjecture that MP is not contained in WMSO[⊕x ⊙1x ], such a result would complete the diagram.",Automata and formal languages,quarantined,individual_review,Domněnka doplňuje jednu šipku v diagramu formalismů; obecná logická charakterizace a rozhodnutelnost cost-register automatů mají přednost.,,,"We conjecture that MP is not contained in WMSO[⊕x ⊙1x ], such a result would complete the diagram.",Maximal Partition Logic: Towards a Logical Characterization of Copyless Cost Register Automata,https://doi.org/10.4230/LIPIcs.CSL.2015.144
434,TCS-4532,J-trivial transducers versus BSigma1 transductions,"For example, are J -trivial transducers equivalent to BΣ1 transductions ?",Automata and formal languages,quarantined,individual_review,"Jde o konkrétní úroveň logicko-algebraické korespondence, nikoli hlavní rozhodnutelnost celé transdukční hierarchie.",,,"For example, are J -trivial transducers equivalent to BΣ1 transductions ?",Aperiodic Two-way Transducers and FO-Transductions,https://doi.org/10.4230/LIPIcs.CSL.2015.160
435,TCS-4594,Counting to n with sub-square-root counter-automaton states,Can nondeterministic or universal counter automata count to n with o( n) states?,Automata and formal languages,quarantined,individual_review,Přesný stavový exponent pro jednu čítací úlohu je jemná deskriptivní optimalita; obecné stavové blowupy jsou silnější kandidáti.,,,Can nondeterministic or universal counter automata count to n with o( n) states?,Notes on Counting with Finite Machines,https://doi.org/10.4230/LIPIcs.FSTTCS.2014.339
436,TCS-4613,Jumping mu-automata capturing a strategy logic,"We conjecture that jumping µ automata capture ; Lµ , but the other direction deserves further investigations.",Automata and formal languages,quarantined,individual_review,Expresivní korespondence jednoho automatu s jednou navrženou logikou je navazující formalistická otázka.,,,"We conjecture that jumping µ automata capture ; Lµ , but the other direction deserves further investigations.",Jumping Automata for Uniform Strategies,https://doi.org/10.4230/LIPIcs.FSTTCS.2013.287
437,TCS-5806,Dynamic resources for maintaining context-free languages,Algebraic Characterizations of Classes of Regular Languages in DynFO — Unresolved-question passage on page 18,Automata and formal languages,quarantined,individual_review,Výčet možných zdrojů bez jednoho konkrétního rozpočtu je klasifikační program; přesné dynamic-membership cíle mají přednost.,,,"Which dynamic resources (quantifier-alterations, arity of auxiliary relations,. . . ) are required for maintaining context-free languages?",Algebraic Characterizations of Classes of Regular Languages in DynFO,https://doi.org/10.4230/LIPIcs.STACS.2026.9
438,TCS-5862,Minimizing every factorized-query representation formalism,A Formal Language Perspective on Factorized Representations — Unresolved-question passage on page 16,Automata and formal languages,quarantined,individual_review,"Ptá se současně na minimum několika formalismů, aniž vybere hlavní model; nejde o jednu nezávislou otázku.",,,What is the complexity of minimizing a representation of each formalism?,A Formal Language Perspective on Factorized Representations,https://doi.org/10.4230/LIPIcs.ICDT.2025.20
439,TCS-6028,Nonfinitary varieties as monadic categories,Which Categories Are Varieties? ((Co)algebraic pearls) — Unresolved-question passage on page 14,Automata and formal languages,quarantined,individual_review,Abstraktní rozšíření charakterizace variet nemá v záznamu zásadní algoritmický cíl odpovídající TCS benchmarku.,,,"Another direction of research are non-finitary varieties: what is an abstract characterization of categories monadic over SetS , or over Pos?",Which Categories Are Varieties? ((Co)algebraic pearls),https://doi.org/10.4230/LIPIcs.CALCO.2021.6
440,TCS-6047,EXPTIME for real-time energy automata,An omega-Algebra for Real-Time Energy Problems — Explicit open question on PDF page 3,Automata and formal languages,quarantined,individual_review,Dorovnává horní mez při kombinaci reálného času a energetických omezení; hlavní rozhodnutelnost kvantitativních automatů má větší dosah.,,,We conjecture that reachability and Büchi acceptance in real-time energy automata can be decided in exponential time.,An omega-Algebra for Real-Time Energy Problems,https://doi.org/10.4230/LIPIcs.FSTTCS.2015.394
441,TCS-6177,Non-erasing pattern equivalence with lengths — second record,The Equivalence Problem of E-Pattern Languages with Length Constraints Is Undecidable — Unresolved-question passage on page 15,Automata and formal languages,quarantined,duplicate,Stejnou otázku ze stejného zdroje už obsahuje TCS-1559; druhý import nepřidává nový problém.,TCS-1559,TCS-1559,"As mentioned at the end of Section 3, similar to [26], the decidability of the equivalence problem for non-erasing pattern languages with length constraints remains […]",The Equivalence Problem of E-Pattern Languages with Length Constraints Is Undecidable,https://doi.org/10.4230/LIPIcs.CPM.2025.4
442,TCS-6271,Decidability for sweeping and bounded two-way counter nets,Two-Way One-Counter Nets Revisited — Unresolved-question passage on page 15,Automata and formal languages,quarantined,individual_review,Doplňuje omezené pohybové varianty jednoho modelu; obecné protipříklady a rozhodnutelnost dvoucestných čítačových automatů mají přednost.,,,We conjecture that this problem is decidable for sweeping and bounded 2-OCN.,Two-Way One-Counter Nets Revisited,https://doi.org/10.4230/LIPIcs.CSL.2025.19
443,TCS-6313,Factoring bounded edit distance between transducers,Edit Distance of Finite State Transducers — Unresolved-question passage on page 18,Automata and formal languages,quarantined,individual_review,Hledá konkrétní faktorizační vlastnost blízkých funkcí; obecná ekvivalence a optimální aproximace transdukcí jsou zásadnější.,,,"An interesting question is: given two functional transducers T1 and T2 with bounded distance, does there exist a transducer T such that T2 is equivalent […]",Edit Distance of Finite State Transducers,https://doi.org/10.4230/LIPIcs.ICALP.2024.125
444,TCS-6326,Minimizing Rabin pairs without increasing states,On the Size of Good-For-Games Rabin Automata and Its Link with the Memory in Muller Games — Explicit open question on PDF page 14,Automata and formal languages,quarantined,individual_review,Optimalizuje jednu složku popisu při fixované jiné složce; obecná minimalizace a determinace omega-automatů mají větší dosah.,,,"However, even this latter option is not always optimal and we conjecture that minimising the number of Rabin pairs without increasing the size of the […]",On the Size of Good-For-Games Rabin Automata and Its Link with the Memory in Muller Games,https://doi.org/10.4230/LIPIcs.ICALP.2022.117
445,TCS-6363,A 2^n algorithm in a random-automaton learning problem,Open Problem: Meeting Times for Learning Random Automata — Explicit open question on PDF page 2,Automata and formal languages,quarantined,individual_review,Zlepšuje exponenciální prohledávání jednoho modelu; hlavní polynomiální naučitelnost automatů je podstatně zásadnější hranice.,,,"Note that there are Õ(2n log n ) DFAs on n states, so merely improving to an algorithm that takes O(2n ) time remains an […]",Open Problem: Meeting Times for Learning Random Automata,https://proceedings.mlr.press/v65/fish17a.html
446,TCS-6444,A stronger equivalence route to parity-index decidability,Deciding the weak definability of Büchi definable tree languages — Unresolved-question passage on page 12,Automata and formal languages,quarantined,individual_review,"Formuluje možnou cestu důkazu jiné hlavní otázky; pro atlas má přednost samotná rozhodnutelnost parity indexu, nikoli každý navržený mezikrok.",,,"One route to proving the decidability of the full parity index problem would be to prove a more general decidability result for ≈, for arbitrary […]",Deciding the weak definability of Büchi definable tree languages,https://doi.org/10.4230/LIPIcs.CSL.2013.215
447,TCS-7003,Expected reset threshold of random binary automata,Random binary automata have expected reset threshold Θ(√n).,Automata and formal languages,quarantined,individual_review,"Ponechávám vysokopravděpodobnostní otázku TCS-7002; očekávanou hodnotu stejné rodiny nyní beru jako navazující variantu. Netvrdím, že ji samotná vysokopravděpodobnostní mez implikuje.",,TCS-7002,Random binary automata have expected reset threshold Θ(√n).,Synchronizing Automata: Open Problems,https://arxiv.org/abs/2608.24245
448,TCS-0641,Variants of one-counter universality,Variants of one-counter systems universality,"Semantics, logic and verification",quarantined,individual_review,"Záznam zastřešuje neurčené varianty, místo aby vybral jednu hranici modelu; konkrétní univerzalitní a ekvivalenční otázky již atlas obsahuje.",,,Variants of one-counter systems universality,Automata Exchange,https://automata.exchange/19.10-variants-of-one-counter-systems-universality/
449,TCS-0888,Sufficient conditions for modular confluence,What are sufficient condition for the modularity of confluence?,"Semantics, logic and verification",quarantined,individual_review,Libovolné nové postačující podmínky nemají jedno kritérium úplného řešení; jde o široký program dílčích vět.,,,What are sufficient condition for the modularity of confluence?,RTA Open Problems,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/59.html
450,TCS-0890,Decidable confluence conditions for graph rewriting,What sufficient conditions make confluence of general (hyper-)graph rewriting decidable?,"Semantics, logic and verification",quarantined,individual_review,Hledá další postačující podmínky bez určené hlavní třídy; konkrétní rozhodnutelnost konfluence je vhodnější jednotka výběru.,,,What sufficient conditions make confluence of general (hyper-)graph rewriting decidable?,RTA Open Problems,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/75.html
451,TCS-0895,Decidable Church-Rosser criteria for left-linear rewriting,Give decidable criteria for left-linear rewriting systems to be Church-Rosser.,"Semantics, logic and verification",quarantined,individual_review,"Nežádá úplnou charakterizaci ani konkrétní kritérium, takže záznam může pokrývat neomezené množství navazujících výsledků.",,,Give decidable criteria for left-linear rewriting systems to be Church-Rosser.,RTA Open Problems,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/13.html
452,TCS-0908,Complexities of various term-ordering problems,What are the complexities of various term ordering decision problems?,"Semantics, logic and verification",quarantined,individual_review,Souhrn několika neurčených rozhodovacích úloh není jeden samostatný zásadní problém.,,,What are the complexities of various term ordering decision problems?,RTA Open Problems,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/30.html
453,TCS-1204,A two-clock extension of parametric disjunctive networks,"Also, whether extending the decidable case of Theorem 20 to two clocks preserves decidability remains open too.","Semantics, logic and verification",quarantined,individual_review,Rozšiřuje konkrétní rozhodnutelný případ o jednu hodinu; hlavní timed-network a parametric-verification bariéry mají přednost.,,,"Also, whether extending the decidable case of Theorem 20 to two clocks preserves decidability remains open too.",Parametric Disjunctive Timed Networks,https://doi.org/10.4230/LIPIcs.CSL.2026.31
454,TCS-1227,Inhabitation complexity of system R,Determining the precise complexity of inhabitation in the setting of system R remains an open and challenging problem.,"Semantics, logic and verification",quarantined,individual_review,Přesná složitost jednoho bounded-parallel intersection systému je specializovanější než hlavní typová inhabitační a normalizační otázka.,,,Determining the precise complexity of inhabitation in the setting of system R remains an open and challenging problem.,A Bounded Parallel Intersection Type System,https://doi.org/10.4230/LIPIcs.FSCD.2026.17
455,TCS-1519,Lafont exponentials in web models,We conjecture that the exponential of our web models is always Lafont (see,"Semantics, logic and verification",quarantined,individual_review,Zkoumá jednu kategoriální vlastnost konstrukce konkrétního modelu lineární logiky; obecná úplnost a výpočetní interpretace jsou zásadnější.,,,We conjecture that the exponential of our web models is always Lafont (see,Absolute Convergence and Taylor Expansion in Web Based Models of Linear Logic,https://doi.org/10.4230/LIPIcs.FSCD.2026.29
456,TCS-1597,Residual classes of lambda-calculus filter models,"However we leave open a complete answer for filter models which are neither lazy, set-like nor →-sound.","Semantics, logic and verification",quarantined,individual_review,Zbývající kombinace modelových vlastností doplňují lokální klasifikaci; hlavní otázku modelové úplnosti lambda kalkulu ponechávám.,,,"However we leave open a complete answer for filter models which are neither lazy, set-like nor →-sound.",Unsolvable Terms in Filter Models (Invited Talk),https://doi.org/10.4230/LIPIcs.FSCD.2025.3
457,TCS-1682,Inhabitation in a fuzzy intersection type system,We conjecture that the inhabitation problem ⊢Q∩ ? :d A should be decidable.,"Semantics, logic and verification",quarantined,individual_review,Jde o rozhodnutelnost nově zvoleného fuzzy typového formalismu; standardní typové systémy a jejich hlavní bariéry mají přednost.,,,We conjecture that the inhabitation problem ⊢Q∩ ? :d A should be decidable.,Towards Fuzzy Constructive Type Theories,https://doi.org/10.4230/LIPIcs.TYPES.2025.7
458,TCS-1683,Pullbacks in perfect operator categories,"It is an open problem to characterize all perfect operator categories that have all pullbacks, or whose class of monomorphisms is stable under pullbacks.","Semantics, logic and verification",quarantined,individual_review,"Klasifikace pomocných kategorií podle stability monomorfismů a pullbacků je technický konstrukční problém, ne hlavní sémantická bariéra.",,,"It is an open problem to characterize all perfect operator categories that have all pullbacks, or whose class of monomorphisms is stable under pullbacks.",Kleisli Categories with Display Maps,https://doi.org/10.4230/LIPIcs.TYPES.2025.9
459,TCS-1701,Finite axioms between ready simulation and failures,"Additionally, for the behavioural equivalences between ready simulation and failures, in the case of |A| = ∞, it is unknown whether finite, sound and ground-complete […]","Semantics, logic and verification",quarantined,individual_review,Souběh konkrétního úseku behaviorální hierarchie a nekonečné abecedy je úzké rozšíření konečné axiomatizace.,,,"Additionally, for the behavioural equivalences between ready simulation and failures, in the case of |A| = ∞, it is unknown whether finite, sound and ground-complete […]",From Bisimulation to Traces: The Impact of Parallel Composition on Finite Bases,https://doi.org/10.4230/LIPIcs.CONCUR.2025.35
460,TCS-1794,An operational account of one lambda theory,Is there an operational characterization of the λ-theory induced by E?,"Semantics, logic and verification",quarantined,individual_review,Hledá operacionalizaci teorie indukované konkrétním modelem E; obecná korespondence operační a denotační sémantiky má větší dosah.,,,Is there an operational characterization of the λ-theory induced by E?,Ohana Trees and Taylor Expansion for the λI-Calculus: No variable gets left behind or forgotten!,https://doi.org/10.4230/LIPIcs.FSCD.2025.12
461,TCS-1993,"FO[<,E] inside simple GHyperLTL","It remains an open question whether FO[<,E] is subsumed by simple GHyperLTLS+C .","Semantics, logic and verification",quarantined,individual_review,Jedno zahrnutí mezi specifickými hyperlogickými fragmenty je dílčí expresivní otázka.,,,"It remains an open question whether FO[<,E] is subsumed by simple GHyperLTLS+C .",Unifying Asynchronous Logics for Hyperproperties,https://doi.org/10.4230/LIPIcs.FSTTCS.2024.14
462,TCS-2082,Larger realizability algebras for large cardinals,"On the other hand, it remains an open problem to determine what would happen for a larger realizability algebra (equipotent with the large cardinal considered […]","Semantics, logic and verification",quarantined,individual_review,Otázka „co se stane“ po zvětšení algebry neurčuje konkrétní konzistenční nebo interpretační tvrzení; jde o výzkumný směr.,,,"On the other hand, it remains an open problem to determine what would happen for a larger realizability algebra (equipotent with the large cardinal considered […]",Realizability Models for Large Cardinals,https://doi.org/10.4230/LIPIcs.CSL.2024.28
463,TCS-2174,Which termination orders suffice for a reachability analysis?,"Are polynomial orders or KBOs without unary function symbol of weight zero sufficient, or are more powerful approaches for showing termination needed?","Semantics, logic and verification",quarantined,individual_review,Volí mezi důkazovými technikami pro konkrétní analýzu; samotná složitost term-reachability je významnější než úspěch vybraného uspořádání.,,,"Are polynomial orders or KBOs without unary function symbol of weight zero sufficient, or are more powerful approaches for showing termination needed?",On the Complexity of the Small Term Reachability Problem for Terminating Term Rewriting Systems,https://doi.org/10.4230/LIPIcs.FSCD.2024.16
464,TCS-2320,Composition of strongly finitary metric endofunctors,Are all strongly finitary endofunctors on Met closed under composition?,"Semantics, logic and verification",quarantined,individual_review,"Uzávěr jedné technické funktorové třídy je stavební lemma pro sémantický formalismus, s užším dosahem než hlavní modelové otázky.",,,Are all strongly finitary endofunctors on Met closed under composition?,Strongly Finitary Monads for Varieties of Quantitative Algebras,https://doi.org/10.4230/LIPIcs.CALCO.2023.10
465,TCS-2436,"Finite-variable, finite-occurrence FO fragments","19) – for example, is the k-atomic-predicate-occurrence fragment of the m-variable fragment of first-order logic with equality decidable?","Semantics, logic and verification",quarantined,individual_review,Kombinuje několik syntaktických omezení v jedné rozhodnutelnostní variantě; hlavní fragmenty logiky mají přednost.,,,"19) – for example, is the k-atomic-predicate-occurrence fragment of the m-variable fragment of first-order logic with equality decidable?",On the Finite Variable-Occurrence Fragment of the Calculus of Relations with Bounded Dot-Dagger Alternation,https://doi.org/10.4230/LIPIcs.MFCS.2023.69
466,TCS-2443,Easier winning-strategy gadgets,Are there any gadgets for which finding a winning strategy is provably easier?,"Semantics, logic and verification",quarantined,individual_review,Hledá nějaké jednodušší gadgety bez určení významné rodiny; nejde o jednu konkrétní herní bariéru.,,,Are there any gadgets for which finding a winning strategy is provably easier?,"Complexity of Motion Planning of Arbitrarily Many Robots: Gadgets, Petri Nets, and Counter Machines",https://doi.org/10.4230/LIPIcs.SAND.2023.5
467,TCS-2581,WPO classes equating friendly and maximal order types,Can we define a class of wpos where friendly order type always coincides with mot?,"Semantics, logic and verification",quarantined,individual_review,"Existence vhodné třídy bez požadavku na její rozsah je otevřené hledání příkladů, nikoli vymezená hlavní charakterizace.",,,Can we define a class of wpos where friendly order type always coincides with mot?,Ordinal Measures of the Set of Finite Multisets,https://doi.org/10.4230/LIPIcs.MFCS.2023.87
468,TCS-2641,Exact tower height for FO on bounded pathwidth,"Can the height of the tower in our case can be made pw + O(1), or is FO model checking on bounded pathwidth truly harder […]","Semantics, logic and verification",quarantined,individual_review,Zpřesnění výšky věže na parametr plus konstantu je jemnější cíl než základní parametrizovaná traktabilita model checkingu.,,,"Can the height of the tower in our case can be made pw + O(1), or is FO model checking on bounded pathwidth truly harder […]",First Order Logic on Pathwidth Revisited Again,https://doi.org/10.4230/LIPIcs.ICALP.2023.132
469,TCS-2682,EXPSPACE at invariant parameter b at least two,"We have shown PSPACE-completeness for b = 1, and we conjecture that the problem is already EXPSPACE-complete for all b ≥ 2.","Semantics, logic and verification",quarantined,individual_review,Doplňuje hranici jednoho invariantového formalismu po nejmenším parametru; obecné otázky efektivního ověřování mají větší dosah.,,,"We have shown PSPACE-completeness for b = 1, and we conjecture that the problem is already EXPSPACE-complete for all b ≥ 2.",Regular Model Checking Upside-Down: An Invariant-Based Approach,https://doi.org/10.4230/LIPIcs.CONCUR.2022.23
470,TCS-2854,Generalized circuits in an effect-typed language,The last problem that we deliberately leave open concerns the notion of generalized circuits used in this paper.,"Semantics, logic and verification",quarantined,individual_review,"Uložená věta pouze oznamuje, že zbývá problém o zobecněných obvodech; vlastní otázku neformuluje.",,,The last problem that we deliberately leave open concerns the notion of generalized circuits used in this paper.,On Dynamic Lifting and Effect Typing in Circuit Description Languages,https://doi.org/10.4230/LIPIcs.TYPES.2022.3
471,TCS-2937,Chronicle representations of TPTL formulas,It also raises the question of the equivalence with TPTL: would it be possible to find an equivalent collection of chronicles for a TPTL formula?,"Semantics, logic and verification",quarantined,individual_review,Překlad do jedné konkrétní událostní reprezentace je užší než obecná rozhodnutelnost a expresivita časových logik.,,,It also raises the question of the equivalence with TPTL: would it be possible to find an equivalent collection of chronicles for a TPTL formula?,Logical Forms of Chronicles,https://doi.org/10.4230/LIPIcs.TIME.2022.7
472,TCS-2985,List-encoded model checking of ordered logics,"What is the complexity of the model checking problem for ordered logics, if we use list encoding to encode our structures?","Semantics, logic and verification",quarantined,individual_review,Změna vstupního kódování v konkrétním logickém modelu je technická varianta složitosti.,,,"What is the complexity of the model checking problem for ordered logics, if we use list encoding to encode our structures?",Towards a Model Theory of Ordered Logics: Expressivity and Interpolation,https://doi.org/10.4230/LIPIcs.MFCS.2022.15
473,TCS-3022,Signals and conditions in BCP,"We leave it as an open problem, whether or not signals and conditions add to the expressive power of BCP.","Semantics, logic and verification",quarantined,individual_review,Přidání dvou syntaktických mechanismů do jednoho procesového kalkulu je lokální expresivní rozšíření.,,,"We leave it as an open problem, whether or not signals and conditions add to the expressive power of BCP.",Pushdown Automata and Context-Free Grammars in Bisimulation Semantics,https://doi.org/10.4230/LIPIcs.CALCO.2021.8
474,TCS-3319,Nonregular robustness languages for discounted-sum transducers,"4.3 Discounted sum measure For DSum-transducer, we conjecture that RobT (ν, L) is in general non-regular.","Semantics, logic and verification",quarantined,individual_review,Hledá protipříklad regularity v jedné metrice a typu transduktoru; obecná robustní verifikace má větší dosah.,,,"4.3 Discounted sum measure For DSum-transducer, we conjecture that RobT (ν, L) is in general non-regular.",Weighted Transducers for Robustness Verification,https://doi.org/10.4230/LIPIcs.CONCUR.2020.17
475,TCS-3370,Exact complexity of the BE interval fragment,"The problem of determining the exact complexity of the fragment BE, which is known to be EXPSPACE-hard and subsumes BD, [2], remains open.","Semantics, logic and verification",quarantined,individual_review,Dorovnává složitost jednoho fragmentu intervalové logiky; hlavní rozhodnutelnostní hranice logik mají přednost.,,,"The problem of determining the exact complexity of the fragment BE, which is known to be EXPSPACE-hard and subsumes BD, [2], remains open.",On a Temporal Logic of Prefixes and Infixes,https://doi.org/10.4230/LIPIcs.MFCS.2020.21
476,TCS-3466,Differential objects in co-Eilenberg-Moore categories,Can one characterize the differential objects in a coEilenberg-Moore category of a differential category?,"Semantics, logic and verification",quarantined,individual_review,"Charakterizace objektů konkrétní kategoriální konstrukce je technický sémantický podproblém, nikoli samostatná hlavní TCS bariéra.",,,Can one characterize the differential objects in a coEilenberg-Moore category of a differential category?,Tangent Categories from the Coalgebras of Differential Categories,https://doi.org/10.4230/LIPIcs.CSL.2020.17
477,TCS-3542,Termination of one predicate-subtyping encoding,"Second, is the confluent rewrite system used in the encoding terminating?","Semantics, logic and verification",quarantined,individual_review,Ověřuje terminační vlastnost konkrétního kódování; jde o dokončení metateorie jedné implementační cesty.,,,"Second, is the confluent rewrite system used in the encoding terminating?",Encoding of Predicate Subtyping with Proof Irrelevance in the λΠ-Calculus Modulo Theory,https://doi.org/10.4230/LIPIcs.TYPES.2020.6
478,TCS-3591,Adding signals to capture pushdown processes,We conjecture that extending TSP; (A) with propositional signals suffices to facilitate the definability of all pushdown processes.,"Semantics, logic and verification",quarantined,individual_review,Další syntaktický mechanismus má doplnit expresivitu konkrétního kalkulu; hlavní pushdown sémantické bariéry jsou širší.,,,We conjecture that extending TSP; (A) with propositional signals suffices to facilitate the definability of all pushdown processes.,Sequencing and Intermediate Acceptance: Axiomatisation and Decidability of Bisimilarity,https://doi.org/10.4230/LIPIcs.CALCO.2019.11
479,TCS-3769,Model classes characterized by two-variable term-modal logic,What kind of accessibility relations or model classes can be characterized by 2-variable TML?,"Semantics, logic and verification",quarantined,individual_review,Neurčuje kandidátní charakterizaci ani hlavní třídu rámců; jde o obecný program klasifikace jednoho fragmentu.,,,What kind of accessibility relations or model classes can be characterized by 2-variable TML?,Two variable fragment of Term Modal Logic,https://doi.org/10.4230/LIPIcs.MFCS.2019.30
480,TCS-3855,Fixed-K layeredness in Hyper Partial Order Logic,"So far, we do not know whether K−layeredness is decidable for a fixed K.","Semantics, logic and verification",quarantined,individual_review,Rozhodnutelnost pomocné vrstvenosti jednoho hyperlogického formalismu má menší dosah než obecné model-checking otázky.,,,"So far, we do not know whether K−layeredness is decidable for a fixed K.",Hyper Partial Order Logic,https://doi.org/10.4230/LIPIcs.FSTTCS.2018.20
481,TCS-3963,Metric completeness under Kantorovich lifting,A related question is the following: does the Kantorovich lifting preserve completeness of metrics?,"Semantics, logic and verification",quarantined,individual_review,Zachování úplnosti jednou konstrukcí je pomocné analytické lemma pro sémantické modely; hlavní behaviorální ekvivalence mají přednost.,,,A related question is the following: does the Kantorovich lifting preserve completeness of metrics?,(Metric) Bisimulation Games and Real-Valued Modal Logics for Coalgebras,https://doi.org/10.4230/LIPIcs.CONCUR.2018.37
482,TCS-3977,Strict ordinal levels of decreasing diagrams,What inclusions DCα ⊆ DCβ are strict for ω ≤ α < β?,"Semantics, logic and verification",quarantined,individual_review,Jemné rozlišení transfinitních úrovní jedné konfluencové techniky je užší než hlavní konfluence a normalizace.,,,What inclusions DCα ⊆ DCβ are strict for ω ≤ α < β?,Decreasing Diagrams with Two Labels Are Complete for Confluence of Countable Systems,https://doi.org/10.4230/LIPIcs.FSCD.2018.14
483,TCS-4243,AAHorn and discrete infinite interval extensions,"The problems that remain open include the status of AAHorn , as well as extending our results to the discrete infinite case (e.g., N or […]","Semantics, logic and verification",quarantined,individual_review,Spojuje několik zbývajících fragmentů a domén jednoho reasoneru; jde o navazující rozšíření klasifikace.,,,"The problems that remain open include the status of AAHorn , as well as extending our results to the discrete infinite case (e.g., N or […]",Fast(er) Reasoning in Interval Temporal Logic,https://doi.org/10.4230/LIPIcs.CSL.2017.17
484,TCS-4396,Other Petri-net restrictions with robust observability,Are there infinite-state restrictions of Petri nets other than 1-VASS whose observability semantics is robust?,"Semantics, logic and verification",quarantined,individual_review,Hledá další vhodné podmodely bez konkrétní cílové třídy; hlavní pozorovatelnostní a rozhodovací bariéry mají přednost.,,,Are there infinite-state restrictions of Petri nets other than 1-VASS whose observability semantics is robust?,One-Counter Automata with Counter Observability,https://doi.org/10.4230/LIPIcs.FSTTCS.2016.20
485,TCS-4473,"PSPACE-completeness of HS[A,A,B,E]","As for the other HS fragments, we showed that HS[A, A, B, E] is in PSPACE, and we conjecture that it is PSPACE-complete.","Semantics, logic and verification",quarantined,individual_review,Přesná dolní mez jednoho syntakticky omezeného intervalového fragmentu je menší cíl než hlavní logické bariéry.,,,"As for the other HS fragments, we showed that HS[A, A, B, E] is in PSPACE, and we conjecture that it is PSPACE-complete.",A Model Checking Procedure for Interval Temporal Logics based on Track Representatives,https://doi.org/10.4230/LIPIcs.CSL.2015.193
486,TCS-4617,Residual kernels at lambda equal to one half,"The only cases in which the polynomial kernel question remains open are those in which λ = 21 and either Π is not hereditary, or […]","Semantics, logic and verification",quarantined,individual_review,Zdroj výslovně vymezuje zbývající parametrické případy jedné kernelizační věty; nejde o nezávislou hlavní kompresní otázku.,,,"The only cases in which the polynomial kernel question remains open are those in which λ = 21 and either Π is not hereditary, or […]",Polynomial Kernels for lambda-extendible Properties Parameterized Above the Poljak-Turzik Bound,https://doi.org/10.4230/LIPIcs.FSTTCS.2013.43
487,TCS-5146,Safety-LTL succinctness versus pure-past fragments,"LTL over Finite Words Can Be Exponentially More Succinct Than Pure-Past LTL, and vice versa — Unresolved-question passage on page 11","Semantics, logic and verification",quarantined,individual_review,Je to další přesný velikostní vztah stejné úzké rodiny jako TCS-2449; obecné expresivní a transformační otázky LTL mají přednost.,,,"To the best of our knowledge, it is still an open question whether coSafety-LTL (resp., Safety-LTL) can be exponentially more succinct than F(pLTL) (resp., G(pLTL)).","LTL over Finite Words Can Be Exponentially More Succinct Than Pure-Past LTL, and vice versa",https://doi.org/10.4230/LIPIcs.TIME.2023.2
488,TCS-5912,Characterizing predicative type theories,Conservativity of Type Theory over Higher-Order Arithmetic — Unresolved-question passage on page 16,"Semantics, logic and verification",quarantined,individual_review,"Bez určení hledané vlastnosti nebo srovnávací teorie je to široký metateoretický program, nikoli jedna domněnka.",,,Can we find a characterisation for predicative type theories?,Conservativity of Type Theory over Higher-Order Arithmetic,https://doi.org/10.4230/LIPIcs.CSL.2024.44
489,TCS-5920,Two-way resynchronizer synthesis — second record,On Synthesis of Resynchronizers for Transducers — Unresolved-question passage on page 14,"Semantics, logic and verification",quarantined,duplicate,Stejné otevřené funkční i nefunkční dvoucestné případy již obsahuje TCS-3636 ze stejného zdroje.,TCS-3636,TCS-3636,"In the two-way setting, the decidability status remains open already when the transducers are not unambiguous (be them functional or not).",On Synthesis of Resynchronizers for Transducers,https://doi.org/10.4230/LIPIcs.MFCS.2019.69
