FOCS-2021-001 | approx | A Better-than-2 Approximation for Weighted Tree Augmentation
STOC-2024-096 | test | Distribution-Free Testing of Decision Lists with a Sublinear Number of Queries
STOC-2024-097 | proof | On the Power of Interactive Proofs for Learning
STOC-2024-098 | learn | Complexity-Theoretic Implications of Multicalibration
STOC-2024-099 | avg | Local Geometry of NAE-SAT Solutions in the Condensation Regime
STOC-2024-100 | count | Trickle-Down in Localization Schemes and Applications
STOC-2024-101 | alg | Optimal Embedding Dimension for Sparse Subspace Embeddings
STOC-2024-102 | opt | Solving Dense Linear Systems Faster Than via Preconditioning
STOC-2024-103 | dist | Improving the Bit Complexity of Communication for Distributed Convex Optimization
STOC-2024-104 | dyn | Fully Dynamic All-Pairs Shortest Paths: Likely Optimal Worst-Case Update Time
STOC-2024-105 | ds | Space Lower Bounds for Dynamic Filters and Value-Dynamic Retrieval
STOC-2024-106 | dyn | Almost-Linear Time Algorithms for Incremental Graphs: Cycle Detection, SCCs, s-t Shortest Path, and Minimum-Cost Flow
STOC-2024-107 | dyn | A Dynamic Shortest Paths Toolbox: Low-Congestion Vertex Sparsifiers and Their Applications
STOC-2024-108 | dyn | Dynamic O(Arboricity) Coloring in Polylogarithmic Worst-Case Time
STOC-2024-109 | comm | Settling the Communication Complexity of VCG-Based Mechanisms for All Approximation Guarantees
STOC-2024-110 | cx | PPAD-Membership for Problems with Exact Rational Solutions: A General Approach via Convex Optimization
STOC-2024-111 | online | From External to Swap Regret 2.0: An Efficient Reduction for Large Action Spaces
STOC-2024-112 | online | Fast Swap Regret Minimization and Applications to Approximate Correlated Equilibria
STOC-2024-113 | game | Fair Division via Quantile Shares
STOC-2024-114 | online | Prophet Inequalities with Cancellation Costs
STOC-2024-115 | ds | Explicit Orthogonal Arrays and Universal Hashing with Arbitrary Parameters
STOC-2024-116 | cx | Tree Evaluation Is in Space 𝑂 (log 𝑛 · log log 𝑛)
STOC-2024-117 | prg | Locality Bounds for Sampling Hamming Slices
STOC-2024-118 | comm | No Complete Problem for Constant-Cost Randomized Communication
STOC-2024-119 | comm | Explicit Separations between Randomized and Deterministic Number-on-Forehead Communication
STOC-2024-120 | q | An Area Law for the Maximally-Mixed Ground State in Arbitrarily Degenerate Systems with Good AGSP
STOC-2024-121 | q | Local Minima in Quantum Systems
STOC-2024-122 | q | An Optimal Tradeoff between Entanglement and Copy Complexity for State Tomography
STOC-2024-123 | q | Learning Shallow Quantum Circuits
STOC-2024-124 | q | Improved Stabilizer Estimation via Bell Difference Sampling
STOC-2024-125 | cx | Computing a Fixed Point of Contraction Maps in Polynomial Queries
STOC-2024-126 | cx | Self-Improvement for Circuit-Analysis Problems
STOC-2024-127 | alg | Formula Size-Depth Tradeoffs for Iterated Sub-permutation Matrix Multiplication
STOC-2024-128 | proof | Functional Lower Bounds in Algebraic Proofs: Symmetry, Lifting, and Barriers
STOC-2024-129 | cx | Black-Box PPP Is Not Turing-Closed
STOC-2024-130 | comb | Product Mixing in Compact Lie Groups
STOC-2024-131 | csp | On Approximability of Satisfiable k-CSPs: IV
STOC-2024-132 | proof | Probabilistically Checkable Reconfiguration Proofs and Inapproximability of Reconfiguration Problems
STOC-2024-133 | code | Cosystolic Expansion of Sheaves on Posets with Applications to Good 2-Query Locally Testable Codes and Lifted Codes
STOC-2024-134 | code | Randomly Punctured Reed–Solomon Codes Achieve List-Decoding Capacity over Linear-Sized Fields
STOC-2024-135 | q | Learning Quantum Hamiltonians at Any Temperature in Polynomial Time
STOC-2024-136 | q | An Efficient Quantum Parallel Repetition Theorem and Applications
STOC-2024-137 | q | The Power of Adaptivity in Quantum Query Algorithms
STOC-2024-138 | q | On the Pauli Spectrum of QAC0
STOC-2024-139 | q | Approaching the Quantum Singleton Bound with Approximate Error Correction
STOC-2024-140 | count | Counting Small Induced Subgraphs with Edge-Monotone Properties
STOC-2024-141 | stream | Near-Optimal Streaming Ellipsoidal Rounding for General Convex Polytopes
STOC-2024-142 | param | Almost-Linear Time Parameterized Algorithm for Rankwidth via Dynamic Rankwidth
STOC-2024-143 | graph | Flip-Breakability: A Combinatorial Dichotomy for Monadically Dependent Graph Classes
STOC-2024-144 | opt | A Strongly Polynomial Algorithm for Linear Programs with At Most Two Nonzero Entries per Row or Column
STOC-2024-145 | alg | Shaving Logs via Large Sieve Inequality: Faster Algorithms for Sparse Convolution and More
STOC-2024-146 | code | Relaxed Local Correctability from Local Testing
STOC-2024-147 | geom | On Optimal Coreset Construction for Euclidean (k,z)-Clustering
STOC-2024-148 | approx | Understanding the Cluster Linear Program for Correlation Clustering
STOC-2024-149 | approx | Combinatorial Correlation Clustering
STOC-2024-150 | online | Random-Order Contention Resolution via Continuous Induction: Tightness for Bipartite Matching under Vertex Arrivals
STOC-2024-151 | approx | Prize-Collecting Steiner Tree: A 1.79 Approximation
STOC-2024-152 | opt | Reconfiguration of Basis Pairs in Regular Matroids
STOC-2024-153 | learn | Sparsifying Generalized Linear Models
STOC-2024-154 | count | Sampling Balanced Forests of Grids in Polynomial Time
STOC-2024-155 | count | Sampling Proper Colorings on Line Graphs Using (1+o(1))Δ Colors
STOC-2024-156 | count | Hypergraph Unreliability in Quasi-Polynomial Time
STOC-2024-157 | crypto | Memory Checking Requires Logarithmic Overhead
STOC-2024-158 | crypto | Perfect Zero-Knowledge PCPs for #P
STOC-2024-159 | crypto | One-Way Functions and Zero Knowledge
STOC-2024-160 | crypto | Tight Time-Space Tradeoffs for the Decisional Diffie-Hellman Problem
STOC-2024-161 | crypto | SNARGs under LWE via Propositional Proofs
STOC-2024-162 | comm | On the Communication Complexity of Approximate Pattern Matching
STOC-2024-163 | learn | Local Borsuk-Ulam, Stability, and Replicability
STOC-2024-164 | comm | A New Information Complexity Measure for Multi-pass Streaming with Applications
STOC-2024-165 | test | New Graph and Hypergraph Container Lemmas with Applications in Property Testing
STOC-2024-166 | q | Exponential Quantum Space Advantage for Approximating Maximum Directed Cut in the Streaming Model
STOC-2024-167 | sched | Proof of the Density Threshold Conjecture for Pinwheel Scheduling
STOC-2024-168 | opt | Constrained Submodular Maximization via New Bounds for DR-Submodular Functions
STOC-2024-169 | online | Optimal Online Discrepancy Minimization
STOC-2024-170 | opt | Supermodular Approximation of Norms and Applications
STOC-2024-171 | graph | Ghost Value Augmentation for k-Edge-Connectivity
STOC-2024-172 | graph | Breaking the VLB Barrier for Oblivious Reconfigurable Networks
STOC-2024-173 | dist | Lenzen’s Distributed Routing Generalized: A Full Characterization of Constant-Time Routability
STOC-2024-174 | prg | Work-Efficient Parallel Derandomization II: Optimal Concentrations via Bootstrapping
STOC-2024-175 | q | No Distributed Quantum Advantage for Approximate Graph Coloring
STOC-2024-176 | comm | Optimal Communication Bounds for Classic Functions in the Coordinator Model and Beyond
STOC-2024-177 | proof | Sum-of-Squares Lower Bounds for Independent Set on Ultra-Sparse Random Graphs
STOC-2024-178 | csp | Semidefinite Programming and Linear Equations vs. Homomorphism Problems
STOC-2024-179 | csp | How Random CSPs Fool Hierarchies
STOC-2024-180 | comb | Swap Cosystolic Expansion
STOC-2024-181 | proof | Agreement Theorems for High Dimensional Expanders in the Low Acceptance Regime: The Role of Covers
STOC-2024-182 | proof | Characterizing Direct Product Testing via Coboundary Expansion
STOC-2024-183 | cx | Symmetric Exponential Time Requires Near-Maximum Circuit Size
STOC-2024-184 | cx | Symmetric Exponential Time Requires Near-Maximum Circuit Size: Simplified, Truly Uniform
STOC-2024-185 | proof | Random (log 𝑛)-CNF Are Hard for Cutting Planes (Again)
STOC-2024-186 | proof | Hardness Condensation by Restriction
STOC-2024-187 | code | Explicit Codes for Poly-Size Circuits and Functions That Are Hard to Sample on Low Entropy Distributions
STOC-2024-188 | prg | Opening Up the Distinguisher: A Hardness to Randomness Approach for BPL=L That Uses Properties of BPL
STOC-2025-001 | code | Explicit Folded Reed-Solomon and Multiplicity Codes Achieve Relaxed Generalized Singleton Bounds
STOC-2025-002 | cx | Simulating Time with Square-Root Space
STOC-2025-003 | graph | Vizing’s Theorem in Near-Linear Time
STOC-2025-004 | graph | Breaking the Sorting Barrier for Directed Single-Source Shortest Paths
STOC-2025-005 | proof | Quasi-Linear Size PCPs with Small Soundness from HDX
STOC-2025-006 | approx | Asymptotically Optimal Hardness for 𝑘-Set Packing and 𝑘-Matroid Intersection
STOC-2025-007 | csp | On Approximability of Satisfiable 𝑘-CSPs: V
STOC-2025-008 | csp | Hardness of 4-Colouring 𝐺-Colourable Graphs
STOC-2025-009 | proof | Sum-of-Squares Lower Bounds for Coloring Random Graphs
STOC-2025-010 | comb | Hypercontractivity on HDX II: Symmetrization and 𝑞-Norms
STOC-2025-011 | proof | Parallel Repetition for 3-Player 𝘟𝘖𝘙 Games
STOC-2025-012 | graph | Linear-Time Algorithms for k-Edge-Connected Components, k-Lean Tree Decompositions, and More
STOC-2025-013 | count | Network Unreliability in Almost-Linear Time
STOC-2025-014 | dyn | Deterministic Dynamic Maximal Matching in Sublinear Update Time
STOC-2025-015 | graph | Breaking the 𝑂(𝑚𝑛)-Time Barrier for Vertex-Weighted Global Minimum Cut
STOC-2025-016 | dyn | Fully Dynamic Biconnectivity in Õ(log² n) Time
STOC-2025-017 | approx | Approximating the Held–Karp Bound for Metric TSP in Nearly Linear Work and Polylogarithmic Depth
STOC-2025-018 | crypto | Founding Quantum Cryptography on Quantum Advantage, or, Towards Cryptography from #P Hardness
STOC-2025-019 | crypto | Quantum-Computable One-Way Functions without One-Way Functions
STOC-2025-020 | crypto | A General Quantum Duality for Representations of Groups with Applications to Quantum Money, Lightning, and Fire
STOC-2025-021 | crypto | Quantum One-Time Programs, Revisited
STOC-2025-022 | q | A Bound on the Quantum Value of All Compiled Nonlocal Games
STOC-2025-023 | crypto | Classical Commitments to Quantum States
STOC-2025-024 | ds | Linear Hashing Is Optimal
STOC-2025-025 | ds | A Framework for Building Data Structures from Communication Protocols
STOC-2025-026 | ds | Optimal Non-oblivious Open Addressing
STOC-2025-027 | ds | Optimal Static Dictionary with Worst-Case Constant Query Time
STOC-2025-028 | fg | On the Hardness Hierarchy for the 𝑂(𝑛 √log 𝑛) Complexity in the Word RAM
STOC-2025-029 | comb | The Hypergraph Removal Process
STOC-2025-030 | avg | Sandwiching Random Geometric Graphs and Erdos-Renyi with Applications: Sharp Thresholds, Robust Testing, and Enumeration
STOC-2025-031 | comb | A Sharp Version of Talagrand’s Selector Process Conjecture and an Application to Rounding Fractional Covers
STOC-2025-032 | graph | Disjoint Connected Dominating Sets in Pseudorandom Graphs
STOC-2025-033 | graph | Minimum Degree Edge-Disjoint Hamilton Cycles in Random Directed Graphs
STOC-2025-034 | learn | Bypassing the Noisy Parity Barrier: Learning Higher-Order Markov Random Fields from Dynamics
STOC-2025-035 | stream | Optimality of Frequency Moment Estimation
STOC-2025-036 | dist | Simple and Optimal Algorithms for Heavy Hitters and Frequency Moments in Distributed Models
STOC-2025-037 | stream | Harmonic Decomposition in Data Sketches
STOC-2025-038 | stream | Lifting Linear Sketches: Optimal Bounds and Adversarial Robustness
STOC-2025-039 | csp | Efficient Algorithms and New Characterizations for CSP Sparsification
STOC-2025-040 | stream | Correlation Clustering and (De)Sparsification: Graph Sketches Can Match Classical Algorithms
STOC-2025-041 | q | Stabilizer Bootstrapping: A Recipe for Efficient Agnostic Tomography and Magic Estimation
STOC-2025-042 | q | Single-Copy Stabilizer Testing
STOC-2025-043 | q | Distributed Quantum Advantage for Local Problems
STOC-2025-044 | q | The State Hidden Subgroup Problem and an Efficient Algorithm for Locating Unentanglement
STOC-2025-045 | alg | Positive Bias Makes Tensor-Network Contraction Tractable
STOC-2025-046 | game | Multi-parameter Mechanisms for Consumer Surplus Maximization
STOC-2025-047 | game | Approximation Guarantees of Median Mechanism in ℝᵈ
STOC-2025-048 | cx | Monotone Contractions
STOC-2025-049 | online | Faster Rates for No-Regret Learning in General Games via Cautious Optimism
STOC-2025-050 | online | Computational Lower Bounds for No-Regret Learning in Normal-Form Games
STOC-2025-051 | game | Efficient Learning and Computation of Linear Correlated Equilibrium in General Convex Games
STOC-2025-052 | cx | The Structure of Catalytic Space: Capturing Randomness and Time via Compression
STOC-2025-053 | comm | Constant-Cost Communication Is Not Reducible to k-Hamming Distance
STOC-2025-054 | comm | Refuting the Direct Sum Conjecture for Total Functions in Deterministic Communication Complexity
STOC-2025-055 | proof | Lifting to Bounded-Depth and Regular Resolutions over Parities via Games
STOC-2025-056 | prg | Extractors for Samplable Distributions with Low Min-Entropy
STOC-2025-057 | prg | Leakage-Resilient Extractors against Number-on-Forehead Protocols
STOC-2025-058 | approx | A (2+ε)-Approximation Algorithm for Metric 𝑘-Median
STOC-2025-059 | count | On Approximability of the Permanent of PSD Matrices
STOC-2025-060 | approx | Rounding Large Independent Sets on Expanders
STOC-2025-061 | approx | Optimal Rounding for Sparsest Cut
STOC-2025-062 | approx | A 5/4-Approximation for Two-Edge Connectivity
STOC-2025-063 | approx | Near-Optimal Dimension Reduction for Facility Location
STOC-2025-064 | q | Locality vs Quantum Codes
STOC-2025-065 | q | Quantum LDPC Codes with Transversal Non-Clifford Gates via Products of Algebraic Codes
STOC-2025-066 | q | Good Binary Quantum Codes with Transversal CCZ Gate
STOC-2025-067 | q | Asymptotically Good Quantum Codes with Transversal Non-Clifford Gates
STOC-2025-068 | q | Pauli Measurements Are Not Optimal for Single-Copy Tomography
STOC-2025-069 | q | Quantum Fault Tolerance with Constant-Space and Logarithmic-Time Overheads
STOC-2025-070 | q | Quantum Advantage from Soft Decoders
STOC-2025-071 | alg | Asymptotic Tensor Rank Is Characterized by Polynomials
STOC-2025-072 | alg | Computing Moment Polytopes of Tensors, with Applications in Algebraic Complexity and Quantum Information
STOC-2025-073 | alg | On the Complexity of Isomorphism Problems for Tensors, Groups, and Polynomials IV: Linear-Length Reductions and Their Applications
STOC-2025-074 | alg | On the Complexity of Isomorphism Problems for Tensors, Groups, and Polynomials V: Over Commutative Rings
STOC-2025-075 | alg | Error-Correction of Matrix Multiplication Algorithms
STOC-2025-076 | comb | Matrix Chaos Inequalities and Chaos of Combinatorial Type
STOC-2025-077 | q | How to Construct Random Unitaries
STOC-2025-078 | code | High Rate Multivariate Polynomial Evaluation Codes
STOC-2025-079 | comb | Tensor Concentration Inequalities: A Geometric Approach
STOC-2025-080 | comb | Explicit Two-Sided Vertex Expanders beyond the Spectral Barrier
STOC-2025-081 | code | Explicit Codes Approaching Generalized Singleton Bound using Expanders
STOC-2025-082 | code | List-Decoding Capacity Implies Capacity on the 𝑞-ary Symmetric Channel
STOC-2025-083 | count | Counting Random 𝑘-SAT near the Satisfiability Threshold
STOC-2025-084 | count | Rapid Mixing at the Uniqueness Threshold
STOC-2025-085 | avg | Sharp Phase Transitions in Estimation with Low-Degree Polynomials
STOC-2025-086 | count | Phase Transitions via Complex Extensions of Markov Chains
STOC-2025-087 | avg | Weak Poincaré Inequalities, Simulated Annealing, and Sampling from Spherical Spin Glasses
STOC-2025-088 | opt | Sampling and Integration of Logconcave Functions by Algorithmic Diffusion
STOC-2025-089 | crypto | Universal SNARGs for NP from Proofs of Correctness
STOC-2025-090 | crypto | Unambiguous SNARGs for P from LWE with Applications to PPAD Hardness
STOC-2025-091 | crypto | Succinct Non-interactive Arguments of Proximity
STOC-2025-092 | crypto | The Meta-complexity of Secret Sharing
STOC-2025-093 | crypto | Fiat-Shamir in the Plain Model from Derandomization (Or: Do Efficient Algorithms Believe that NP = PSPACE?)
STOC-2025-094 | crypto | A Zero-Knowledge PCP Theorem
STOC-2025-095 | test | Testing Support Size More Efficiently Than Learning Histograms
STOC-2025-096 | test | Testing vs Estimation for Index-Invariant Properties in the Huge Object Model
STOC-2025-097 | test | Monotonicity Testing of High-Dimensional Distributions with Subcube Conditioning
STOC-2025-098 | test | A Tolerant Independent Set Tester
STOC-2025-099 | count | Approximately Counting and Sampling Hamiltonian Motifs in Sublinear Time
STOC-2025-100 | dist | Stochastic Matching via In-n-Out Local Computation Algorithms
STOC-2025-101 | alg | Characterizing and Testing Principal Minor Equivalence of Matrices
STOC-2025-102 | alg | Primes via Zeros: Interactive Proofs for Testing Primality of Natural Classes of Ideals
STOC-2025-103 | alg | Polynomial-Time PIT from (Almost) Necessary Assumptions
STOC-2025-104 | proof | Feasibly Constructive Proof of Schwartz–Zippel Lemma and the Complexity of Finding Hitting Sets
STOC-2025-105 | cx | When Connectivity Is Hard, Random Walks Are Easy with Non-determinism
STOC-2025-106 | count | Vanishing of Schubert Coefficients
STOC-2025-107 | opt | Extending the Extension: Deterministic Algorithm for Non-monotone Submodular Maximization
STOC-2025-108 | opt | Better Approximation for Weighted 𝑘-Matroid Intersection
STOC-2025-109 | approx | Solving the Correlation Cluster LP in Sublinear Time
STOC-2025-110 | approx | Fully Dynamic 𝑘-Median with Near-Optimal Update Time and Recourse
STOC-2025-111 | ds | Dynamic Locality Sensitive Orderings in Doubling Metrics
STOC-2025-112 | dyn | Near-Optimal Linear Sketches and Fully-Dynamic Algorithms for Hypergraph Spectral Sparsification
STOC-2025-113 | q | Learning the Structure of Any Hamiltonian from Minimal Assumptions
STOC-2025-114 | q | Learning the Closest Product State
STOC-2025-115 | q | Improved Bounds for Testing Low Stabilizer Complexity States
STOC-2025-116 | q | Polynomial-Time Tolerant Testing Stabilizer States
STOC-2025-117 | q | Dimension Independent and Computationally Efficient Shadow Tomography
STOC-2025-118 | q | Tolerant Testing of Stabilizer States with a Polynomial Gap via a Generalized Uncertainty Relation
STOC-2025-119 | q | Testing and Learning Structured Quantum Hamiltonians
STOC-2025-120 | dist | On the Locality of the Lovász Local Lemma
STOC-2025-121 | ds | History-Independent Concurrent Hash Tables
STOC-2025-122 | q | Online Locality Meets Distributed Quantum Computing
STOC-2025-123 | dist | Faster Distributed Δ-Coloring via Ruling Subgraphs
STOC-2025-124 | dist | Constant Degree Networks for Almost-Everywhere Reliable Transmission
STOC-2025-125 | proof | Optimal Proof Systems for Complex Sets Are Hard to Find
STOC-2025-126 | proof | Student-Teacher Constructive Separations and (Un)Provability in Bounded Arithmetic: Witnessing the Gap
STOC-2025-127 | cx | Maximum Circuit Lower Bounds for Exponential-Time Arthur Merlin
STOC-2025-128 | cx | Supercritical Tradeoffs for Monotone Circuits
STOC-2025-129 | proof | Truly Supercritical Trade-Offs for Resolution, Cutting Planes, Monotone Circuits, and Weisfeiler–Leman
STOC-2025-130 | cx | Low Rank Matrix Rigidity: Tight Lower Bounds and Hardness Amplification
STOC-2025-131 | game | Constant Approximation for Weighted Nash Social Welfare with Submodular Valuations
STOC-2025-132 | opt | The Cost of Consistency: Submodular Maximization with Constant Recourse
STOC-2025-133 | online | Tight Results for Online Convex Paging
STOC-2025-134 | online | Online Stochastic Matching with Unknown Arrival Order: Beating 0.5 against the Online Optimum
STOC-2025-135 | online | Single-Sample and Robust Online Resource Allocation
STOC-2025-136 | online | Adaptive Approximation Schemes for Matching Queues
STOC-2025-137 | q | Quantum Communication Advantage in TFNP
STOC-2025-138 | q | On the Computational Power of QAC0 with Barely Superlinear Ancillae
STOC-2025-139 | q | Efficient Thermalization and Universal Quantum Computing with Quantum Gibbs Samplers
STOC-2025-140 | q | The Jacobi Factoring Circuit: Quantum Factoring with Near-Linear Gates and Sublinear Space and Depth
STOC-2025-141 | q | Permutation Superposition Oracles for Quantum Query Lower Bounds
STOC-2025-142 | q | QMA vs QCMA and Pseudorandomness
STOC-2025-143 | learn | Tractable Agreement Protocols
STOC-2025-144 | game | Share-Based Fairness for Arbitrary Entitlements
STOC-2025-145 | game | From Signaling to Interviews in Random Matching Markets
STOC-2025-146 | game | Metric Distortion of Small-Group Deliberation
STOC-2025-147 | game | Constant-Factor EFX Exists for Chores
STOC-2025-148 | game | Six Candidates Suffice to Win a Voter Majority
STOC-2025-149 | code | Time and Space Efficient Deterministic Decoders
STOC-2025-150 | csp | Redundancy Is All You Need
STOC-2025-151 | comm | Strong XOR Lemma for Information Complexity
STOC-2025-152 | crypto | Ideal Pseudorandom Codes
STOC-2025-153 | crypto | Improved PIR Schemes using Matching Vectors and Derivatives
STOC-2025-154 | ds | A Generalized Trace Reconstruction Problem: Recovering a String of Probabilities
STOC-2025-155 | avg | Discrepancy Algorithms for the Binary Perceptron
STOC-2025-156 | learn | Entangled Mean Estimation in High Dimensions
STOC-2025-157 | learn | SoS Certifiability of Subgaussian Distributions and Its Algorithmic Applications
STOC-2025-158 | learn | SoS Certificates for Sparse Singular Values and Their Applications: Robust Statistics, Subspace Distortion, and More
STOC-2025-159 | csp | How Random CSPs Fool Hierarchies: II
STOC-2025-160 | comb | Coboundary Expansion of Coset Complexes
STOC-2025-161 | learn | On the Limits of Language Generation: Trade-Offs between Hallucination and Mode-Collapse
STOC-2025-162 | learn | Provably Learning a Multi-head Attention Layer
STOC-2025-163 | learn | Model Stealing for Any Low-Rank Language Model
STOC-2025-164 | learn | Omnipredicting Single-Index Models with Multi-index Models
STOC-2025-165 | learn | Learning the Sherrington-Kirkpatrick Model Even at Low Temperature
STOC-2025-166 | learn | Oblivious Defense in ML Models: Backdoor Removal without Detection
STOC-2025-167 | count | The FPᴺᴾ versus #P Dichotomy for #EO
STOC-2025-168 | prg | Locally Sampleable Uniform Symmetric Distributions
STOC-2025-169 | q | Uncloneable Quantum States Are Necessary as Proofs and Advice
STOC-2025-170 | q | Learning Quantum States Prepared by Shallow Circuits in Polynomial Time
STOC-2025-171 | autom | The 2-Token Theorem: Recognising History-Deterministic Parity Automata Efficiently
STOC-2025-172 | inf | Reachability in One-Dimensional Pushdown Vector Addition Systems Is Decidable
STOC-2025-173 | crypto | Cryptographic Characterization of Quantum Advantage
STOC-2025-174 | crypto | Succinct Oblivious Tensor Evaluation and Applications: Adaptively-Secure Laconic Function Evaluation and Trapdoor Hashing for All Circuits
STOC-2025-175 | crypto | Protecting Computations against Continuous Bounded-Communication Leakage
STOC-2025-176 | crypto | A New Approach for LPN-Based Pseudorandom Functions: Low-Depth and Key-Homomorphic
STOC-2025-177 | crypto | Near-Optimal Time-Sparsity Trade-Offs for Solving Noisy Linear Equations
STOC-2025-178 | crypto | Using the Planted Clique Conjecture for Cryptography: Public-Key Encryption from Planted Clique and Noisy 𝑘-LIN over Expanders
STOC-2025-179 | graph | Disjoint Paths Problem with Group-Expressable Constraints
STOC-2025-180 | verify | Merge-Width and First-Order Model Checking
STOC-2025-181 | graph | All-Pairs Shortest Paths with Few Weights per Node
STOC-2025-182 | count | Efficiently Finding and Counting Patterns with Distance Constraints in Sparse Graphs
STOC-2025-183 | param | Subexponential Parameterized Algorithms for Hitting Subgraphs
STOC-2025-184 | count | Output-Sensitive Approximate Counting via a Measure-Bounded Hyperedge Oracle, or: How Asymmetry Helps Estimate 𝑘-Clique Counts Faster
STOC-2025-185 | online | Agnostic Smoothed Online Learning
STOC-2025-186 | online | Breaking the T^(2/3) Barrier for Sequential Calibration
STOC-2025-187 | learn | Almost Optimal PAC Learning for 𝑘-Means
STOC-2025-188 | learn | Adaptive and Oblivious Statistical Adversaries Are Equivalent
STOC-2025-189 | learn | On Reductions and Representations of Learning Problems in Euclidean Spaces
STOC-2025-190 | learn | DNF Learning via Locally Mixing Random Walks
STOC-2025-191 | learn | Weak Recovery, Hypothesis Testing, and Mutual Information in Stochastic Block Models and Planted Factor Graphs
STOC-2025-192 | opt | Matroid Products via Submodular Coupling
STOC-2025-193 | comb | Long Arithmetic Progressions in Sumsets and Subset Sums: Constructive Proofs and Efficient Witnesses
STOC-2025-194 | graph | Smoothed Analysis for Graph Isomorphism
STOC-2025-195 | learn | Statistical Inference of a Ranked Community in a Directed Graph
STOC-2025-196 | param | Near Optimal Constant Inapproximability under ETH for Fundamental Problems in Parameterized Complexity
STOC-2025-197 | param | Treewidth Inapproximability and Tight ETH Lower Bound
STOC-2025-198 | param | Almost Optimal Time Lower Bound for Approximating Parameterized Clique, CSP, and More, under ETH
STOC-2025-199 | fg | A Fine-Grained Classification of Subquadratic Patterns for Subgraph Listing and Friends
STOC-2025-200 | ds | Bounded Edit Distance: Optimal Static and Dynamic Algorithms for Small Integer Weights
STOC-2025-201 | ds | Faster Weighted and Unweighted Tree Edit Distance and APSP Equivalence
STOC-2025-202 | lattice | Faster Lattice Basis Computation via a Natural Generalization of the Euclidean Algorithm
STOC-2025-203 | lattice | Symmetric Perceptrons, Number Partitioning and Lattices
STOC-2025-204 | graph | Accelerated Approximate Optimization of Multi-commodity Flows on Directed Graphs
STOC-2025-205 | opt | Breaking the Barrier of Self-Concordant Barriers: Faster Interior Point Methods for M-Matrices
STOC-2025-206 | opt | Improved Complexity for Smooth Nonconvex Optimization: A Two-Level Online Learning Approach with Quasi-Newton Methods
STOC-2025-207 | learn | Fast, Robust Approximate Message Passing
STOC-2025-208 | ds | Õptimal Fault-Tolerant Labeling for Reachability and Approximate Distances in Directed Planar Graphs
STOC-2025-209 | ds | Light Tree Covers, Routing, and Path-Reporting Oracles via Spanning Tree Covers in Doubling Graphs
STOC-2025-210 | approx | Covering Approximate Shortest Paths with DAGs
STOC-2025-211 | graph | How to Protect Yourself from Threatening Skeletons: Optimal Padded Decompositions for Minor-Free Graphs
STOC-2025-212 | graph | Deterministic Vertex Connectivity via Common-Neighborhood Clustering and Pseudorandomness
STOC-2025-213 | graph | Global vs. s-t Vertex Connectivity Beyond Sequential: Almost-Perfect Reductions and Near-Optimal Separations
STOC-2025-214 | geom | Approximation Algorithms for the Geometric Multimatching Problem
STOC-2025-215 | geom | Constant Approximation of Fréchet Distance in Strongly Subquadratic Time
STOC-2025-216 | dp | Sample-Optimal Private Regression in Polynomial Time
STOC-2025-217 | dp | Privately Evaluating Untrusted Black-Box Functions
STOC-2025-218 | dp | On Differentially Private Linear Algebra
STOC-2025-219 | dp | Fingerprinting Codes Meet Geometry: Improved Lower Bounds for Private Query Release and Adaptive Data Analysis
STOC-2026-001 | proof | Lower Bounds against the Ideal Proof System in Finite Fields
STOC-2026-002 | graph | Deterministic Padded Decompositions and Negative-Weight Shortest Paths
STOC-2026-003 | graph | Forbidden Subgraphs of Graphs with Low Bandwidth
STOC-2026-004 | crypto | SNARGs for NP from Unprovability of Mathematical Theorems (Or: How to Use the Simplicity of Cryptographic Reasoning)
STOC-2026-005 | learn | Smoothed Analysis of Learning from Positive Samples
STOC-2026-006 | q | Few Single-Qubit Measurements Suffice to Certify Any Quantum State
STOC-2026-007 | graph | Separator Theorem for Minor-Free Graphs in Linear Time
STOC-2026-008 | csp | Near Optimal Hardness of Approximating 𝑘-CSP
STOC-2026-009 | game | On the Learning Curves of Revenue Maximization
STOC-2026-010 | test | A Mysterious Connection between Tolerant Junta Testing and Agnostically Learning Conjunctions
STOC-2026-011 | lattice | No Exponential Quantum Speedup for SIS∞ Anymore
STOC-2026-012 | approx | Almost-Optimal Approximation Algorithms for Global Minimum Cut in Directed Graphs
STOC-2026-013 | dyn | Incremental Shortest Paths in Almost Linear Time via a Modified Interior Point Method
STOC-2026-014 | alg | S-Unit Equations in Modules and Linear-Exponential Diophantine Equations
STOC-2026-015 | proof | The Weak Rank Principle: Lower Bounds and Applications
STOC-2026-016 | crypto | Compressed Permutation Oracles
STOC-2026-017 | game | Optimal Contest beyond Convexity
STOC-2026-018 | alg | Closure under Factorization from a Result of Furstenberg
STOC-2026-019 | avg | A Unified Approach to Memory-Sample Tradeoffs for Detecting Planted Structures
STOC-2026-020 | graph | Deterministic Negative-Weight Shortest Paths in Nearly Linear Time via Path Covers
STOC-2026-021 | geom | Adaptive Robustness of Hypergrid Johnson-Lindenstrauss
STOC-2026-022 | opt | Beyond Smoothed Analysis: Analyzing the Simplex Method By-the-Book
STOC-2026-023 | ds | Sampling Permutations with Cell Probes Is Hard
STOC-2026-024 | stream | A Dichotomy Theorem for Multi-pass Streaming CSPs
